name,position,age,club,nation,appearances,goals,assists
Jakub Stolarczyk,GK,24.0,Leicester City,pl POL,6,0,0
John Stones,"DF,MF",30.0,Manchester City,eng ENG,11,2,0
Jørgen Strand Larsen,FW,25.0,Wolves,no NOR,26,7,2
Gabriel Strefezza,"FW,MF",27.0,Como,br BRA,27,3,3
Cristhian Stuani,FW,38.0,Girona,uy URU,20,4,2
Álex Suárez,DF,31.0,Las Palmas,es ESP,23,0,0
Denis Suárez,MF,31.0,Villarreal,es ESP,14,1,1
Gabriel Suazo,DF,27.0,Toulouse,cl CHI,23,0,5
Luka Sučić,MF,22.0,Real Sociedad,hr CRO,19,1,1
Yukinari Sugawara,DF,24.0,Southampton,jp JPN,25,1,1
Niklas Süle,DF,29.0,Dortmund,de GER,8,0,0
Ibrahim Sulemana,MF,21.0,Atalanta,gh GHA,5,0,0
Kamaldeen Sulemana,"FW,MF",23.0,Southampton,gh GHA,16,1,0
Crysencio Summerville,"FW,MF",23.0,West Ham,nl NED,19,1,1
Tomáš Suslov,"MF,FW",22.0,Hellas Verona,sk SVK,25,0,0
Suso,"FW,MF",31.0,Sevilla,es ESP,9,0,0
Zion Suzuki,GK,22.0,Parma,jp JPN,27,0,0
Mattias Svanberg,MF,26.0,Wolfsburg,se SWE,18,3,1
Daniel Svensson,DF,23.0,Dortmund,se SWE,4,0,0
Marin Šverko,DF,27.0,Venezia,hr CRO,15,1,0
Mile Svilar,GK,25.0,Roma,rs SRB,28,0,0
Michael Svoboda,DF,26.0,Venezia,at AUT,16,1,0
Williot Swedberg,"FW,MF",21.0,Celta Vigo,se SWE,24,3,3
Abakar Sylla,DF,22.0,Strasbourg,ci CIV,16,1,0
Issiaga Sylla,DF,31.0,Montpellier,gn GUI,15,1,0
Mamadou Sylla,"FW,MF",30.0,Valladolid,sn SEN,20,3,1
Wojciech Szczęsny,GK,34.0,Barcelona,pl POL,6,0,0
Sammie Szmodics,"FW,MF",29.0,Ipswich Town,ie IRL,19,4,0
Dominik Szoboszlai,MF,24.0,Liverpool,hu HUN,27,5,3
Alexander Sørloth,FW,29.0,Atlético Madrid,no NOR,24,10,2
Musa Al-Taamari,"FW,MF",27.0,Montpellier,jo JOR,15,2,1
Musa Al-Taamari,"MF,FW",27.0,Rennes,jo JOR,5,0,0
Haris Tabakovic,"FW,MF",30.0,Hoffenheim,ba BIH,14,2,1
Nicolás Tagliafico,DF,32.0,Lyon,ar ARG,16,3,1
Jonathan Tah,DF,29.0,Leverkusen,de GER,24,2,0
Adrien Tameze,"MF,DF",31.0,Torino,cm CMR,16,0,0
Renato Tapia,"MF,DF",29.0,Leganés,pe PER,23,1,0
Edmond Tapsoba,DF,26.0,Leverkusen,bf BFA,23,0,0
Florian Tardieu,MF,32.0,Saint-Étienne,fr FRA,15,0,2
Mehdi Taremi,FW,32.0,Inter,ir IRN,20,1,1
Matt Targett,DF,29.0,Newcastle Utd,eng ENG,1,0,0
Oussama Targhalline,MF,22.0,Le Havre,ma MAR,14,0,0
James Tarkowski,DF,32.0,Everton,eng ENG,28,1,1
César Tárrega,DF,23.0,Valencia,es ESP,24,2,0
Nuno Tavares,DF,25.0,Lazio,pt POR,20,0,8
Marcus Tavernier,"FW,MF",25.0,Bournemouth,eng ENG,21,3,5
Charlie Taylor,DF,31.0,Southampton,eng ENG,7,0,0
Jack Taylor,MF,26.0,Ipswich Town,ie IRL,22,1,0
Loum Tchaouna,"FW,MF",21.0,Lazio,fr FRA,19,1,0
Jackson Tchatchoua,"DF,MF",23.0,Hellas Verona,cm CMR,26,2,2
Enzo Tchato,DF,22.0,Montpellier,cm CMR,24,0,0
Aurélien Tchouaméni,"MF,DF",25.0,Real Madrid,fr FRA,22,0,0
Álvaro Tejero,"MF,DF",28.0,Espanyol,es ESP,22,1,4
Martín Tejón,"MF,DF",20.0,Valencia,es ESP,4,0,0
Mathys Tel,FW,19.0,Tottenham,fr FRA,3,0,0
Mathys Tel,"FW,MF",19.0,Bayern Munich,fr FRA,8,0,1
Nathan Tella,"MF,FW",25.0,Leverkusen,ng NGA,20,2,2
Nahuel Tenaglia,DF,29.0,Alavés,ar ARG,24,1,1
Casper Tengstedt,"FW,MF",24.0,Hellas Verona,dk DEN,21,6,1
Marc-André ter Stegen,GK,32.0,Barcelona,de GER,6,0,0
Filippo Terracciano,"DF,MF",22.0,Milan,it ITA,10,0,0
Pietro Terracciano,GK,35.0,Fiorentina,it ITA,3,0,0
Ramón Terrats,"MF,FW",24.0,Villarreal,es ESP,11,0,0
Ramón Terrats,MF,24.0,Getafe,es ESP,5,0,0
Martin Terrier,"MF,FW",28.0,Leverkusen,fr FRA,15,2,1
Tanner Tessmann,MF,23.0,Lyon,us USA,16,0,0
Kenny Tete,DF,29.0,Fulham,nl NED,15,0,2
Teddy Teuma,MF,31.0,Reims,mt MLT,17,1,0
Jordan Teze,DF,25.0,Monaco,nl NED,12,1,0
Florian Thauvin,"FW,MF",32.0,Udinese,fr FRA,24,7,3
Arthur Theate,DF,24.0,Eint Frankfurt,be BEL,23,0,0
Norman Theuerkauf,MF,38.0,Heidenheim,de GER,1,0,0
Thiago,FW,23.0,Brentford,br BRA,4,0,0
Malick Thiaw,DF,23.0,Milan,de GER,19,0,0
Denis Thomalla,MF,32.0,Heidenheim,de GER,1,0,0
Luke Thomas,DF,23.0,Leicester City,eng ENG,4,0,0
Sorba Thomas,"FW,MF",25.0,Nantes,wls WAL,19,1,2
Adrien Thomasson,MF,31.0,Lens,fr FRA,24,2,3
Morten Thorsby,MF,28.0,Genoa,no NOR,23,0,1
Khéphren Thuram,MF,23.0,Juventus,fr FRA,26,3,4
Marcus Thuram,FW,27.0,Inter,fr FRA,27,13,4
Youri Tielemans,MF,27.0,Aston Villa,be BEL,29,2,4
Kieran Tierney,"DF,FW",27.0,Arsenal,sct SCO,5,0,0
Phillip Tietz,FW,27.0,Augsburg,de GER,25,5,1
Jurriën Timber,DF,23.0,Arsenal,nl NED,25,1,2
Jean-Clair Todibo,DF,25.0,West Ham,fr FRA,17,0,0
Harry Toffolo,DF,29.0,Nott'ham Forest,eng ENG,3,0,0
Umut Tohumcu,MF,20.0,Hoffenheim,de GER,8,0,1
Corentin Tolisso,MF,30.0,Lyon,fr FRA,24,5,2
John Tolkin,"DF,FW",22.0,Holstein Kiel,us USA,3,0,1
Rafael Tolói,DF,34.0,Atalanta,it ITA,8,0,0
Tiago Tomás,"FW,MF",22.0,Wolfsburg,pt POR,24,6,1
Takehiro Tomiyasu,DF,26.0,Arsenal,jp JPN,1,0,0
Fikayo Tomori,DF,27.0,Milan,eng ENG,14,0,0
Sandro Tonali,MF,24.0,Newcastle Utd,it ITA,25,1,1
Pablo Torre,"MF,FW",21.0,Barcelona,es ESP,8,3,1
David Torres,DF,22.0,Valladolid,es ESP,17,0,0
Ferrán Torres,"FW,MF",25.0,Barcelona,es ESP,19,5,2
Pau Torres,DF,28.0,Aston Villa,es ESP,18,0,0
Lucas Torró,MF,30.0,Osasuna,es ESP,24,3,0
Lorenzo Tosto,DF,19.0,Empoli,it ITA,1,0,0
Abdoulaye Touré,MF,31.0,Le Havre,gn GUI,19,4,1
Bazoumana Touré,"FW,MF",19.0,Hoffenheim,ci CIV,4,0,0
Birama Touré,"MF,DF",32.0,Montpellier,ml MLI,8,0,0
Ousmane Toure,DF,20.0,Lille,fr FRA,1,0,0
Souleymane Touré,DF,21.0,Udinese,fr FRA,12,1,0
Lucas Tousart,MF,27.0,Union Berlin,fr FRA,10,0,1
Conor Townsend,DF,32.0,Ipswich Town,eng ENG,3,0,0
Adama Traoré,"FW,MF",29.0,Fulham,es ESP,26,2,5
Hamari Traoré,DF,33.0,Real Sociedad,ml MLI,6,0,1
Omar Traoré,DF,27.0,Heidenheim,de GER,22,0,1
Kevin Trapp,GK,34.0,Eint Frankfurt,de GER,21,0,0
Mark Travers,GK,25.0,Bournemouth,ie IRL,5,0,0
Óscar Trejo,"MF,FW",36.0,Rayo Vallecano,ar ARG,13,0,0
Philipp Treu,"MF,DF",24.0,St. Pauli,de GER,24,0,1
Ryan Trevitt,MF,21.0,Brentford,eng ENG,1,0,0
Christopher Trimmel,"DF,MF",38.0,Union Berlin,at AUT,17,0,1
Kieran Trippier,DF,34.0,Newcastle Utd,eng ENG,16,0,0
Leandro Trossard,FW,30.0,Arsenal,be BEL,28,4,5
Adrien Truffert,"DF,MF",23.0,Rennes,fr FRA,24,1,0
Kostas Tsimikas,DF,28.0,Liverpool,gr GRE,14,0,1
Viktor Tsyhankov,"FW,MF",27.0,Girona,ua UKR,15,2,4
Axel Tuanzebe,DF,27.0,Ipswich Town,cd COD,14,0,1
Stefano Turati,GK,23.0,Monza,it ITA,24,0,0
Beñat Turrientes,MF,23.0,Real Sociedad,es ESP,15,0,0
Tuta,"DF,MF",25.0,Eint Frankfurt,br BRA,22,2,1
Chrisantus Uche,"FW,MF",21.0,Getafe,ng NGA,26,3,2
Destiny Udogie,DF,22.0,Tottenham,it ITA,21,0,1
Manuel Ugarte Ribeiro,MF,23.0,Manchester Utd,uy URU,20,1,0
Lesley Ugochukwu,MF,20.0,Southampton,fr FRA,17,0,1
Lukas Ullrich,DF,20.0,Gladbach,de GER,17,1,2
Sven Ulreich,GK,36.0,Bayern Munich,de GER,1,0,0
Enes Ünal,"FW,MF",27.0,Bournemouth,tr TUR,17,2,1
Deniz Undav,"FW,MF",28.0,Stuttgart,de GER,19,7,1
Naci Ünüvar,"MF,DF",21.0,Espanyol,nl NED,2,0,0
Dayot Upamecano,DF,26.0,Bayern Munich,fr FRA,19,2,0
Kacper Urbanski,MF,20.0,Bologna,pl POL,7,1,0
Kacper Urbanski,MF,20.0,Monza,pl POL,6,0,0
Jonas Urbig,GK,21.0,Bayern Munich,de GER,1,0,0
Can Uzun,"MF,FW",19.0,Eint Frankfurt,tr TUR,17,4,1
Josha Vagnoman,"DF,MF",24.0,Stuttgart,de GER,22,1,1
Lautaro Valenti,DF,26.0,Parma,ar ARG,11,1,0
Óscar Valentín,MF,30.0,Rayo Vallecano,es ESP,26,0,0
Nicolás Valentini,DF,23.0,Hellas Verona,ar ARG,5,0,0
Germán Valera,MF,22.0,Valencia,es ESP,8,0,0
Emanuele Valeri,DF,26.0,Parma,it ITA,25,2,4
Martin Valjent,DF,29.0,Mallorca,sk SVK,22,1,0
Álex Valle,DF,20.0,Como,es ESP,6,0,0
Jesús Vallejo,DF,28.0,Real Madrid,es ESP,1,0,0
Mattia Valoti,MF,31.0,Monza,it ITA,5,0,0
Federico Valverde,"MF,DF",26.0,Real Madrid,uy URU,25,5,3
Ignace Van Der Brempt,DF,22.0,Como,be BEL,14,0,1
Siebe Van Der Heyden,"DF,MF",26.0,Mallorca,be BEL,2,0,0
Siebe Van Der Heyden,"DF,MF",26.0,St. Pauli,be BEL,6,1,0
Virgil van Dijk,DF,33.0,Liverpool,nl NED,29,1,1
Vanderson,DF,23.0,Monaco,br BRA,21,1,2
Maarten Vandevoordt,GK,23.0,RB Leipzig,be BEL,2,0,0
Jamie Vardy,FW,38.0,Leicester City,eng ENG,26,7,3
Ruben Vargas,FW,26.0,Sevilla,ch SUI,8,1,1
Ruben Vargas,"MF,FW",26.0,Augsburg,ch SUI,8,0,0
Nikola Vasilj,GK,29.0,St. Pauli,ba BIH,25,0,0
Devis Vásquez,GK,26.0,Empoli,co COL,23,0,0
Johan Vásquez,DF,26.0,Genoa,mx MEX,27,2,0
Denis Vavro,DF,28.0,Wolfsburg,sk SVK,21,1,0
José Luis García Vayá,MF,26.0,Valencia,es ESP,24,1,2
Robinio Vaz,FW,18.0,Marseille,fr FRA,2,0,0
Jesus Vazquez,DF,22.0,Valencia,es ESP,13,0,0
Lucas Vázquez,DF,33.0,Real Madrid,es ESP,22,1,3
Matías Vecino,MF,33.0,Lazio,uy URU,11,1,1
Danilo Veiga,"DF,FW",22.0,Lecce,pt POR,4,0,0
Renato Veiga,"DF,MF",21.0,Chelsea,pt POR,7,0,0
Renato Veiga,DF,21.0,Juventus,pt POR,3,0,0
Alejo Véliz,FW,21.0,Espanyol,ar ARG,20,1,0
Miloš Veljković,DF,29.0,Werder Bremen,rs SRB,13,0,1
Joël Veltman,DF,33.0,Brighton,nl NED,19,0,0
Micky van de Ven,DF,23.0,Tottenham,nl NED,10,0,2
Lorenzo Venturino,"FW,MF",18.0,Genoa,it ITA,2,0,0
Nikolas Veratschnig,"DF,FW",22.0,Mainz 05,at AUT,7,0,0
Bart Verbruggen,GK,22.0,Brighton,nl NED,26,0,1
Simone Verdi,"MF,FW",32.0,Como,it ITA,9,0,0
Jordan Veretout,MF,32.0,Lyon,fr FRA,19,2,0
Arthur Vermeeren,MF,20.0,RB Leipzig,be BEL,21,0,1
Yorbe Vertessen,"MF,FW",24.0,Union Berlin,be BEL,17,1,0
Mikel Vesga,MF,31.0,Athletic Club,es ESP,19,0,0
Jannik Vestergaard,DF,32.0,Leicester City,dk DEN,18,0,0
Ben Viadere,MF,19.0,Auxerre,fr FRA,1,0,0
Guglielmo Vicario,GK,28.0,Tottenham,it ITA,16,0,0
Carlos Vicente,"FW,MF",25.0,Alavés,es ESP,26,3,3
Pau Victor Delgado,FW,23.0,Barcelona,es ESP,15,2,1
Nacho Vidal,DF,30.0,Osasuna,es ESP,5,0,0
Gabriel Vidovic,MF,21.0,Mainz 05,hr CRO,1,0,0
Fran Vieites,GK,25.0,Betis,es ESP,4,0,0
Samuele Vignato,MF,21.0,Monza,it ITA,14,0,0
Asier Villalibre,FW,27.0,Alavés,es ESP,13,1,0
Iván Villar,GK,27.0,Celta Vigo,es ESP,4,0,0
Carlos Vinícius,MF,29.0,Fulham,br BRA,1,0,0
Nicolas Viola,"MF,FW",35.0,Cagliari,it ITA,20,2,1
Viti,DF,27.0,Las Palmas,es ESP,20,0,2
Mattia Viti,DF,23.0,Empoli,it ITA,21,0,0
Vitinha,"FW,MF",24.0,Genoa,pt POR,18,0,2
Vitinha,MF,25.0,Paris S-G,pt POR,22,4,1
Daniel Vivian,DF,25.0,Athletic Club,es ESP,23,3,0
Dušan Vlahović,FW,25.0,Juventus,rs SRB,22,9,1
Vanja Vlahović,"FW,MF",20.0,Atalanta,rs SRB,3,0,0
Nikola Vlašić,"MF,FW",27.0,Torino,hr CRO,22,3,3
Alessandro Vogliacco,DF,26.0,Genoa,it ITA,12,2,0
Alessandro Vogliacco,DF,26.0,Parma,it ITA,6,0,0
Kevin Vogt,DF,33.0,Union Berlin,de GER,15,1,0
Mërgim Vojvoda,DF,30.0,Torino,xk KVX,17,0,0
Mërgim Vojvoda,DF,30.0,Como,xk KVX,2,0,0
Kevin Volland,"FW,MF",32.0,Union Berlin,de GER,3,0,0
Aster Vranckx,MF,22.0,Wolfsburg,be BEL,11,0,0
Stefan de Vrij,DF,33.0,Inter,nl NED,22,2,0
Ibrahima Wadji,"MF,FW",29.0,Saint-Étienne,sn SEN,4,0,0
Robert Wagner,MF,21.0,St. Pauli,de GER,8,0,0
Elye Wahi,FW,22.0,Marseille,fr FRA,13,3,1
Elye Wahi,"FW,MF",22.0,Eint Frankfurt,fr FRA,5,0,0
Hauke Wahl,DF,30.0,St. Pauli,de GER,25,0,0
Kyle Walker,DF,34.0,Manchester City,eng ENG,15,0,0
Kyle Walker,DF,34.0,Milan,eng ENG,5,0,0
Kyle Walker-Peters,DF,27.0,Southampton,eng ENG,26,0,2
Christian Walton,GK,29.0,Ipswich Town,eng ENG,6,0,0
Sebastian Walukiewicz,DF,24.0,Torino,pl POL,21,0,0
Sebastian Walukiewicz,DF,24.0,Empoli,pl POL,2,0,0
Aaron Wan-Bissaka,DF,27.0,West Ham,eng ENG,26,2,2
Paul Wanner,"MF,FW",19.0,Heidenheim,de GER,24,3,1
Danny Ward,GK,31.0,Leicester City,wls WAL,2,0,0
James Ward-Prowse,MF,30.0,West Ham,eng ENG,4,0,0
James Ward-Prowse,MF,30.0,Nott'ham Forest,eng ENG,9,0,1
Kjell-Arik Wätjen,MF,19.0,Dortmund,de GER,2,0,0
Ollie Watkins,FW,29.0,Aston Villa,eng ENG,29,13,6
Timothy Weah,"FW,DF",25.0,Juventus,us USA,20,5,2
Adam Webster,DF,30.0,Brighton,eng ENG,10,0,0
Julian Weigl,MF,29.0,Gladbach,de GER,24,0,2
Timon Weiner,GK,26.0,Holstein Kiel,de GER,24,0,0
Nelson Weiper,FW,19.0,Mainz 05,de GER,15,2,0
Mitchell Weiser,"DF,MF",30.0,Werder Bremen,de GER,24,4,5
Noah Weißhaupt,"FW,MF",23.0,St. Pauli,de GER,10,0,0
Noah Weißhaupt,FW,23.0,Freiburg,de GER,3,0,0
Danny Welbeck,FW,34.0,Brighton,eng ENG,21,7,4
Welington,"DF,MF",24.0,Southampton,br BRA,4,0,0
Timo Werner,"FW,MF",29.0,Tottenham,de GER,18,0,3
Adam Wharton,MF,20.0,Crystal Palace,eng ENG,13,0,0
Ben White,DF,27.0,Arsenal,eng ENG,11,0,1
Silvan Widmer,DF,32.0,Mainz 05,ch SUI,21,0,1
Mats Wieffer,MF,25.0,Brighton,nl NED,16,1,1
Mateusz Wieteska,DF,28.0,Cagliari,pl POL,5,0,0
Caleb Wiley,"DF,MF",20.0,Strasbourg,us USA,6,0,1
Iñaki Williams,"FW,MF",30.0,Athletic Club,gh GHA,26,5,8
Neco Williams,DF,23.0,Nott'ham Forest,wls WAL,25,1,1
Nico Williams,FW,22.0,Athletic Club,es ESP,23,4,5
Willian,MF,36.0,Fulham,br BRA,4,0,0
Joe Willock,"MF,FW",25.0,Newcastle Utd,eng ENG,24,0,2
Callum Wilson,"FW,MF",33.0,Newcastle Utd,eng ENG,7,0,0
Harry Wilson,"FW,MF",27.0,Fulham,wls WAL,19,5,1
Patrick Wimmer,"MF,FW",23.0,Wolfsburg,at AUT,20,3,4
Jonas Wind,"FW,MF",26.0,Wolfsburg,dk DEN,23,8,3
Harry Winks,MF,29.0,Leicester City,eng ENG,21,0,2
Ben Winterburn,MF,20.0,Bournemouth,eng ENG,2,0,0
Florian Wirtz,"MF,FW",21.0,Leverkusen,de GER,25,9,10
Yoane Wissa,FW,28.0,Brentford,cd COD,25,13,2
Dani de Wit,"MF,FW",27.0,Bochum,nl NED,21,2,0
Axel Witsel,DF,36.0,Atlético Madrid,be BEL,12,0,1
Maximilian Wittek,DF,29.0,Bochum,de GER,24,0,0
Marius Wolf,DF,29.0,Augsburg,de GER,24,1,3
Nick Woltemade,"FW,MF",23.0,Stuttgart,de GER,20,8,2
Jeong Woo-yeong,"MF,FW",25.0,Union Berlin,kr KOR,21,3,2
Chris Wood,FW,33.0,Nott'ham Forest,nz NZL,28,18,3
Nathan Wood-Gordon,DF,22.0,Southampton,eng ENG,9,0,0
Christopher Wooh,DF,23.0,Rennes,cm CMR,18,0,0
Luke Woolfenden,DF,26.0,Ipswich Town,eng ENG,12,0,0
Granit Xhaka,MF,32.0,Leverkusen,ch SUI,25,2,7
Lamine Yamal,FW,17.0,Barcelona,es ESP,23,5,11
Daniel Yáñez,FW,17.0,Real Madrid,es ESP,1,0,0
Erencan Yardimci,"FW,MF",23.0,Hoffenheim,tr TUR,6,0,0
Yehor Yarmoliuk,MF,21.0,Brentford,ua UKR,21,0,0
Ryan Yates,MF,27.0,Nott'ham Forest,eng ENG,25,2,0
John Yeboah,"FW,MF",24.0,Venezia,ec ECU,24,0,1
Bertuğ Yıldırım,FW,22.0,Getafe,tr TUR,17,1,0
Kenan Yıldız,"FW,MF",19.0,Juventus,tr TUR,28,4,2
Leny Yoro,DF,19.0,Manchester Utd,fr FRA,14,0,0
Ashley Young,"DF,FW",39.0,Everton,eng ENG,25,1,3
Etienne Youte Kinkoue,DF,23.0,Le Havre,fr FRA,20,0,0
Illia Zabarnyi,DF,22.0,Bournemouth,ua UKR,26,0,0
Eloge Zabi,"DF,MF",18.0,Reims,ci CIV,2,0,0
Mattia Zaccagni,FW,29.0,Lazio,it ITA,24,8,6
Dan-Axel Zagadou,"DF,MF",25.0,Stuttgart,fr FRA,2,0,0
Yoram Zague,DF,18.0,Paris S-G,fr FRA,3,0,0
Wilfried Zaha,FW,32.0,Lyon,ci CIV,4,0,0
Warren Zaïre-Emery,"MF,DF",19.0,Paris S-G,fr FRA,20,1,1
Miha Zajc,MF,30.0,Toulouse,si SVN,15,0,0
Denis Zakaria,MF,28.0,Monaco,ch SUI,17,3,2
Arsen Zakharyan,"MF,FW",21.0,Real Sociedad,ru RUS,3,1,0
Nicola Zalewski,"DF,FW",23.0,Roma,pl POL,12,0,0
Nicola Zalewski,DF,23.0,Inter,pl POL,3,0,1
Andre-Frank Zambo Anguissa,MF,29.0,Napoli,cm CMR,26,5,3
Francesco Zampano,DF,31.0,Venezia,it ITA,21,1,2
Nicolò Zaniolo,FW,25.0,Fiorentina,it ITA,4,0,0
Nicolò Zaniolo,"FW,MF",25.0,Atalanta,it ITA,14,2,2
Alessandro Zanoli,"FW,DF",24.0,Genoa,it ITA,23,0,0
Duván Zapata,FW,33.0,Torino,co COL,7,3,0
Gabriele Zappa,DF,25.0,Cagliari,it ITA,28,2,0
Davide Zappacosta,DF,32.0,Atalanta,it ITA,21,4,2
Bryan Zaragoza,"FW,MF",23.0,Osasuna,es ESP,20,1,5
Anass Zaroury,"FW,MF",24.0,Lens,ma MAR,20,0,1
Oier Zarraga,MF,26.0,Udinese,es ESP,15,0,0
David Zec,DF,25.0,Holstein Kiel,si SVN,10,2,0
Jordan Zemura,DF,25.0,Udinese,zw ZIM,19,1,2
Robin Zentner,GK,30.0,Mainz 05,de GER,25,0,0
Alessio Zerbin,DF,26.0,Venezia,it ITA,8,1,0
Alessio Zerbin,"FW,DF",26.0,Napoli,it ITA,2,0,0
Kevin Zeroli,MF,20.0,Monza,it ITA,5,0,0
Kevin Zeroli,MF,20.0,Milan,it ITA,1,0,0
Cedric Zesiger,DF,26.0,Augsburg,ch SUI,7,0,0
Cedric Zesiger,DF,26.0,Wolfsburg,ch SUI,7,0,0
Michael Zetterer,GK,29.0,Werder Bremen,de GER,25,0,0
Nathan Zeze,DF,19.0,Nantes,fr FRA,12,0,0
Edon Zhegrova,"FW,MF",25.0,Lille,xk KVX,12,4,1
Piotr Zieliński,MF,30.0,Inter,pl POL,22,2,2
Oleksandr Zinchenko,"DF,MF",28.0,Arsenal,ua UKR,10,0,0
Joshua Zirkzee,"FW,MF",23.0,Manchester Utd,nl NED,28,3,1
Budu Zivzivadze,FW,31.0,Heidenheim,ge GEO,10,1,2
Luc Zogbé,DF,19.0,Brest,ci CIV,12,0,0
Nadir Zortea,"FW,MF",25.0,Cagliari,it ITA,25,5,0
Aristide Zossou,MF,19.0,Auxerre,ci CIV,3,0,0
Yanis Zouaoui,"DF,FW",30.0,Le Havre,dz ALG,14,0,2
Igor Zubeldia,DF,27.0,Real Sociedad,es ESP,22,0,0
Martín Zubimendi,MF,26.0,Real Sociedad,es ESP,26,1,1
Edhy Zuliani,DF,20.0,Toulouse,it ITA,1,0,0
Szymon Żurkowski,MF,27.0,Empoli,pl POL,5,0,0
Martin Ødegaard,MF,26.0,Arsenal,no NOR,20,2,3
Milan Đurić,FW,34.0,Monza,ba BIH,18,4,1
Milan Đurić,FW,34.0,Parma,ba BIH,3,0,0
